pollutant,scope,site,outcome,n,r2,coef,p_value,q_value_at_0.05,fdr_significant_q0.05,q_value_at_0.1,fdr_significant_q0.1
PM2.5,per_site,UCSD,moderate_hypo_windows_per_day,518,0.0245008744781977,0.0434078090740805,0.1542739485649882,0.51634447103197,False,0.51634447103197,False
NOx,pooled,all,severe_hypo_minutes_per_day,1944,0.0119104213461903,2.326044471050324,0.1549335369448054,0.51634447103197,False,0.51634447103197,False
VOC,per_site,UW,moderate_hyper_windows_per_day,711,0.1017702867601991,-0.8700567675798094,0.1584644004813157,0.51634447103197,False,0.51634447103197,False
NOx,per_site,UCSD,severe_hypo_mean_glucose,118,0.076275218107854,2.7434190093508186,0.1607777738800288,0.51634447103197,False,0.51634447103197,False
VOC,per_site,UCSD,moderate_hypo_mean_glucose,282,0.0494001841352473,1.532019130577087,0.1608807068357882,0.51634447103197,False,0.51634447103197,False
VOC,per_site,UAB,severe_hyper_fraction,715,0.0515920285423585,-0.054905731569423,0.1617505158941655,0.51634447103197,False,0.51634447103197,False
VOC,per_site,UAB,severe_hyper_minutes_per_day,715,0.0523449476939963,-66.16799407792544,0.1631505099441294,0.51634447103197,False,0.51634447103197,False
PM2.5,per_site,UCSD,severe_hyper_windows_per_day,518,0.0383394486044654,0.0582058576616586,0.1687333539428656,0.5282087601689706,False,0.5282087601689706,False
VOC,per_site,UW,moderate_hyper_mean_glucose,632,0.0874320208703001,-4.138147060146139,0.1744811275284793,0.5392376416483374,False,0.5392376416483374,False
VOC,per_site,UCSD,glucose_overall_variance,518,0.0466401123972476,402.9747585513453,0.1760011747046657,0.5392376416483374,False,0.5392376416483374,False
NOx,per_site,UCSD,moderate_hyper_mean_glucose,466,0.0303945172987757,4.005111662275034,0.1809336535218473,0.544572461196871,False,0.544572461196871,False
VOC,pooled,all,severe_hyper_minutes_per_day,1944,0.0410948467364291,-33.451720759707655,0.1821671732998077,0.544572461196871,False,0.544572461196871,False
PM2.5,per_site,UAB,moderate_hypo_windows_per_day,715,0.0249631404938037,0.0416008207103246,0.1841486054601895,0.544572461196871,False,0.544572461196871,False
PM2.5,per_site,UCSD,severe_hyper_minutes_per_day,518,0.0389076541326001,9.478519896626318,0.185803680459205,0.544572461196871,False,0.544572461196871,False
PM2.5,per_site,UCSD,normal_minutes_per_day,518,0.0461980494971292,-21.160617024337487,0.1890628618273492,0.544572461196871,False,0.544572461196871,False
VOC,pooled,all,severe_hyper_fraction,1944,0.0405406621548929,-0.0285036233861202,0.1890876601378024,0.544572461196871,False,0.544572461196871,False
PM2.5,pooled,all,moderate_hyper_windows_per_day,1944,0.0566223746325905,0.0633637800240738,0.1952058503422528,0.5566265831541466,False,0.5566265831541466,False
PM2.5,per_site,UAB,glucose_cv_ratio,715,0.0357569740315236,0.0028233359228557,0.1976103134399065,0.5579585320656184,False,0.5579585320656184,False
PM2.5,per_site,UAB,glucose_overall_variance,715,0.0501157168026021,51.226748313760034,0.2005735304199259,0.5608269588440646,False,0.5608269588440646,False
PM2.5,per_site,UW,severe_hyper_windows_per_day,711,0.0863774394370832,0.0342844835367869,0.2056853595641721,0.5695902264853997,False,0.5695902264853997,False
VOC,pooled,all,severe_hypo_fraction,1944,0.0088549138702337,0.0034574738534413,0.2111808360031467,0.5792388644657738,False,0.5792388644657738,False
NOx,per_site,UCSD,severe_hypo_windows_per_day,518,0.0480597796476545,0.0715276689952961,0.221565422998033,0.6019890738059764,False,0.6019890738059764,False
VOC,pooled,all,severe_hypo_minutes_per_day,1944,0.0116206815353332,2.55718495788955,0.2274563413883865,0.6080255294825586,False,0.6080255294825586,False
PM2.5,per_site,UAB,glucose_mean,715,0.0547608486651876,1.8256416039312,0.2280095735559595,0.6080255294825586,False,0.6080255294825586,False
VOC,per_site,UCSD,glucose_mean_daily_variance,518,0.048024894203336,282.8801937118202,0.2312197816270924,0.6109293312715836,False,0.6109293312715836,False
VOC,per_site,UAB,moderate_hypo_mean_glucose,448,0.0139648432869593,0.9795090113177628,0.234349444727643,0.6134151004951828,False,0.6134151004951828,False
PM2.5,per_site,UCSD,normal_fraction,518,0.0470402438119241,-0.0131280785492145,0.2364204033158517,0.6134151004951828,False,0.6134151004951828,False
VOC,per_site,UW,glucose_mean,711,0.1112102496846777,-12.388437356254896,0.2411899717691943,0.6202027845493567,False,0.6202027845493567,False
NOx,per_site,UCSD,glucose_cv_ratio,518,0.0573312164828506,0.0198336285627231,0.244075839286268,0.6220693957030548,False,0.6220693957030548,False
NOx,per_site,UCSD,severe_hyper_minutes_per_day,518,0.038102447798142,46.30270308687818,0.2492952933816971,0.6295957590035792,False,0.6295957590035792,False
NOx,per_site,UCSD,moderate_hypo_mean_glucose,282,0.0471031873080214,-1.3912820890194382,0.2514010843243459,0.6295957590035792,False,0.6295957590035792,False
NOx,per_site,UAB,normal_windows_per_day,715,0.0306681984059601,0.3523207157971464,0.2549626442967936,0.6330107030816945,False,0.6330107030816945,False
PM2.5,per_site,UCSD,severe_hyper_fraction,518,0.0509211335387808,0.0072585248107433,0.2572914989656672,0.6333329205308732,False,0.6333329205308732,False
PM2.5,per_site,UAB,severe_hypo_minutes_per_day,715,0.020381074927915,0.7122948078330401,0.2680891260672892,0.6543192229438922,False,0.6543192229438922,False
NOx,pooled,all,glucose_mean_daily_variance,1944,0.0518610798623307,100.56055234802744,0.2766937749800379,0.6644457321461481,False,0.6644457321461481,False
VOC,pooled,all,moderate_hypo_fraction,1944,0.009556874104194,0.0027846928174581,0.2768523883942284,0.6644457321461481,False,0.6644457321461481,False
VOC,pooled,all,moderate_hypo_windows_per_day,1944,0.0098965236702437,0.1273686516641593,0.2812349277163501,0.6693856130769325,False,0.6693856130769325,False
VOC,per_site,UAB,severe_hypo_windows_per_day,715,0.0254985752394514,0.1004211803400505,0.2958320255975232,0.6766878688427395,False,0.6766878688427395,False
PM2.5,per_site,UAB,moderate_hyper_windows_per_day,715,0.0376365796977068,0.0826263320162244,0.302597064800242,0.6766878688427395,False,0.6766878688427395,False
NOx,per_site,UW,normal_mean_glucose,707,0.1122337790808076,-3.3774739012839,0.3026693241431047,0.6766878688427395,False,0.6766878688427395,False
NOx,per_site,UAB,moderate_hypo_minutes_per_day,715,0.0215337989649394,5.002870455074874,0.3028802067742653,0.6766878688427395,False,0.6766878688427395,False
VOC,per_site,UCSD,normal_fraction,518,0.0463692131684499,-0.0646591007662282,0.3064331135717564,0.6766878688427395,False,0.6766878688427395,False
VOC,per_site,UCSD,normal_minutes_per_day,518,0.0448749379665867,-92.98531729814565,0.3115337544234745,0.6766878688427395,False,0.6766878688427395,False
VOC,pooled,all,severe_hypo_windows_per_day,1944,0.0141888314506721,0.0459664645026711,0.3122125661342171,0.6766878688427395,False,0.6766878688427395,False
NOx,pooled,all,severe_hypo_windows_per_day,1944,0.014187044837216,0.0354218271095629,0.3130432735783664,0.6766878688427395,False,0.6766878688427395,False
VOC,per_site,UW,moderate_hyper_minutes_per_day,711,0.106396655361223,-57.23461906756646,0.3151490496895509,0.6766878688427395,False,0.6766878688427395,False
VOC,per_site,UAB,moderate_hyper_minutes_per_day,715,0.0439740315048822,49.9746111841347,0.3172122772532612,0.6766878688427395,False,0.6766878688427395,False
NOx,per_site,UW,glucose_cv_ratio,711,0.0621838917525543,0.0101745328399697,0.3181146938742253,0.6766878688427395,False,0.6766878688427395,False
NOx,per_site,UAB,moderate_hypo_fraction,715,0.0225254207460248,0.003569656777294,0.3195092924466413,0.6766878688427395,False,0.6766878688427395,False
