pollutant,scope,site,outcome,n,r2,coef,p_value
VOC,per_site,UCSD,severe_hypo_fraction,518,0.056873290957580314,0.001828364891510272,0.5348329751481667
VOC,pooled,all,severe_hypo_mean_glucose,597,0.025947980420978123,0.6644005205758238,0.3727513777763953
VOC,per_site,UW,severe_hypo_mean_glucose,215,0.0982355966250994,-3.119765675227347,0.09830395988846188
VOC,per_site,UAB,severe_hypo_mean_glucose,264,0.03160022806028606,-0.09943742191553184,0.9159825634799579
VOC,per_site,UCSD,severe_hypo_mean_glucose,118,0.11281167257244118,4.703678983930328,0.01259783982622529
VOC,pooled,all,severe_hypo_windows_per_day,1944,0.014188831450672179,0.04596646450267119,0.31221256613421716
VOC,per_site,UW,severe_hypo_windows_per_day,711,0.018189205008069753,0.02962270134542715,0.5788482663998072
VOC,per_site,UAB,severe_hypo_windows_per_day,715,0.025498575239451426,0.1004211803400505,0.2958320255975232
VOC,per_site,UCSD,severe_hypo_windows_per_day,518,0.04528766065751877,-0.009275391153378745,0.876152212141425
VOC,pooled,all,moderate_hypo_minutes_per_day,1944,0.008916300372328045,3.4550324655700577,0.3287535928732388
VOC,per_site,UW,moderate_hypo_minutes_per_day,711,0.025032897947350974,4.476962716719954,0.47342976736714076
VOC,per_site,UAB,moderate_hypo_minutes_per_day,715,0.020743615414575922,4.542470359555385,0.481980859508683
VOC,per_site,UCSD,moderate_hypo_minutes_per_day,518,0.024556563820620436,2.873004282534009,0.5739575154096271
VOC,pooled,all,moderate_hypo_fraction,1944,0.009556874104194035,0.002784692817458116,0.2768523883942284
VOC,per_site,UW,moderate_hypo_fraction,711,0.025058510514021193,0.0030959312351582498,0.48224584700345824
VOC,per_site,UAB,moderate_hypo_fraction,715,0.02212597718218756,0.004002399256596332,0.4014639460391684
VOC,per_site,UCSD,moderate_hypo_fraction,518,0.024755282002029477,0.0019622831717626206,0.5838914462456074
VOC,pooled,all,moderate_hypo_mean_glucose,1150,0.014081288430593975,1.2581299641947938,0.030565863675104468
VOC,per_site,UW,moderate_hypo_mean_glucose,420,0.01796425092097964,0.6980164159740572,0.5984946368628871
VOC,per_site,UAB,moderate_hypo_mean_glucose,448,0.01396484328695935,0.9795090113177629,0.23434944472764305
VOC,per_site,UCSD,moderate_hypo_mean_glucose,282,0.04940018413524738,1.532019130577087,0.16088070683578828
VOC,pooled,all,moderate_hypo_windows_per_day,1944,0.00989652367024374,0.12736865166415937,0.28123492771635017
VOC,per_site,UW,moderate_hypo_windows_per_day,711,0.02726573408366051,0.1533957349977892,0.44752961376374467
VOC,per_site,UAB,moderate_hypo_windows_per_day,715,0.02380381139572052,0.2101003196898244,0.3351132614863843
VOC,per_site,UCSD,moderate_hypo_windows_per_day,518,0.020582137684748036,0.009308413506385439,0.957306356806906
VOC,pooled,all,normal_minutes_per_day,1944,0.06295348221893915,-3.296981287687302,0.9482281376802736
VOC,per_site,UW,normal_minutes_per_day,711,0.09427472663740954,69.71795986741107,0.423027624520828
VOC,per_site,UAB,normal_minutes_per_day,715,0.062048780833228956,2.3940610092823618,0.9780901204998472
VOC,per_site,UCSD,normal_minutes_per_day,518,0.0448749379665867,-92.98531729814565,0.3115337544234745
VOC,pooled,all,normal_fraction,1944,0.062189136529510636,0.0013809612428087176,0.968572340044444
VOC,per_site,UW,normal_fraction,711,0.09688070291518736,0.047472893698529944,0.4305464077753995
VOC,per_site,UAB,normal_fraction,715,0.05882615866775265,0.010188763861368445,0.8657657047074739
VOC,per_site,UCSD,normal_fraction,518,0.046369213168449996,-0.06465910076622822,0.30643311357175645
VOC,pooled,all,normal_mean_glucose,1933,0.05884926494084364,-0.19971978799172904,0.9403947781849603
VOC,per_site,UW,normal_mean_glucose,707,0.11389059630387555,-7.632360015404179,0.12450319208949191
VOC,per_site,UAB,normal_mean_glucose,710,0.04170782536381168,2.3462670710513702,0.5786426592334051
VOC,per_site,UCSD,normal_mean_glucose,516,0.06605764490787758,4.228887165843747,0.41126597019834527
VOC,pooled,all,normal_windows_per_day,1944,0.04268189111003806,0.6157014839142261,0.015584785742628742
VOC,per_site,UW,normal_windows_per_day,711,0.049696348328606144,-0.7401638023118418,0.11723505315644825
VOC,per_site,UAB,normal_windows_per_day,715,0.04326665308033073,1.3287753570336025,0.0012026962042735222
VOC,per_site,UCSD,normal_windows_per_day,518,0.06466008404304047,0.9251755668831202,0.050372015126611026
VOC,pooled,all,moderate_hyper_minutes_per_day,1944,0.06270636839158694,29.691487214458014,0.32983617892649214
VOC,per_site,UW,moderate_hyper_minutes_per_day,711,0.106396655361223,-57.23461906756646,0.31514904968955093
VOC,per_site,UAB,moderate_hyper_minutes_per_day,715,0.043974031504882216,49.9746111841347,0.31721227725326123
VOC,per_site,UCSD,moderate_hyper_minutes_per_day,518,0.0628400550836844,90.51511070924893,0.09991082380930301
VOC,pooled,all,moderate_hyper_fraction,1944,0.06315727959107087,0.020880495472410218,0.32740082522811664
VOC,per_site,UW,moderate_hyper_fraction,711,0.10631981259430279,-0.038324732860464714,0.33599432376566585
VOC,per_site,UAB,moderate_hyper_fraction,715,0.044879758653389445,0.034554072360809096,0.32252180524151836
VOC,per_site,UCSD,moderate_hyper_fraction,518,0.062089820703903786,0.06233798631017886,0.10629572209764787
VOC,pooled,all,moderate_hyper_mean_glucose,1740,0.0348155763576351,1.3237539902634765,0.42984755664747226
VOC,per_site,UW,moderate_hyper_mean_glucose,632,0.08743202087030011,-4.138147060146139,0.17448112752847933
VOC,per_site,UAB,moderate_hyper_mean_glucose,642,0.0371324614142291,0.08089116627166137,0.9768452495443372
VOC,per_site,UCSD,moderate_hyper_mean_glucose,466,0.0419871149674772,8.053143328852487,0.007111182573960428
VOC,pooled,all,moderate_hyper_windows_per_day,1944,0.056843986211418174,0.49804186045850013,0.1442833293819913
VOC,per_site,UW,moderate_hyper_windows_per_day,711,0.10177028676019917,-0.8700567675798094,0.15846440048131571
VOC,per_site,UAB,moderate_hyper_windows_per_day,715,0.03953830862291963,0.872748294136422,0.1173528001613829
VOC,per_site,UCSD,moderate_hyper_windows_per_day,518,0.06643098204677456,1.3865964822198702,0.031056948049646114
