experiment,exposure,outcome,site,n,estimate,ci_lo,ci_hi,p,note
E2A.1,tar_180,log_acr,UCSD,626,0.5159,0.3073,0.7245,1.512759432213408e-06,
E2A.1,tar_180,log_troponin,UW,789,0.0356,-0.0047,0.0759,0.08314554003272326,
E2A.1,tar_180,log_troponin,UAB,783,0.0704,0.034,0.1067,0.00015629458114389756,
E2A.1,tar_180,log_troponin,UCSD,630,0.099,0.047,0.151,0.00020360391980983727,
E2A.1,tar_180,monofilament_missed,UW,787,0.0597,-0.0999,0.2193,0.46285421162721907,
E2A.1,tar_180,monofilament_missed,UAB,790,0.0756,-0.0759,0.2272,0.32747381816316745,
E2A.1,tar_180,monofilament_missed,UCSD,661,0.3478,0.1657,0.53,0.00019245020060932986,
E2A.1,glucose_cv,abn_kidney,UW,789,1.3511,1.0525,1.7345,0.018210297903362843,
E2A.1,glucose_cv,abn_kidney,UAB,780,1.195,0.993,1.4381,0.05937653426157264,
E2A.1,glucose_cv,abn_kidney,UCSD,626,1.4342,1.13,1.8202,0.0030271492944394973,
E2A.1,glucose_cv,abn_heart,UW,789,0.9383,0.7294,1.2071,0.6204331995065541,
E2A.1,glucose_cv,abn_heart,UAB,783,1.0747,0.8903,1.2972,0.45318183562738046,
E2A.1,glucose_cv,abn_heart,UCSD,630,1.1125,0.8899,1.3909,0.34928002361008237,
E2A.1,glucose_cv,abn_nerve,UW,787,0.9696,0.7388,1.2724,0.8236093552180044,
E2A.1,glucose_cv,abn_nerve,UAB,790,1.1522,0.9626,1.3792,0.1224372007762079,
E2A.1,glucose_cv,abn_nerve,UCSD,661,1.025,0.7868,1.3354,0.8546187964166119,
E2A.1,glucose_cv,abn_any,UW,785,1.0521,0.8536,1.2968,0.6338470740330937,
E2A.1,glucose_cv,abn_any,UAB,780,1.2115,1.0335,1.4201,0.017952235575831883,
E2A.1,glucose_cv,abn_any,UCSD,623,1.1643,0.956,1.418,0.13040854371812421,
E2A.1,glucose_cv,abn_multi,UW,785,1.2078,0.8902,1.6387,0.22509183914950337,
E2A.1,glucose_cv,abn_multi,UAB,780,1.2139,0.9956,1.4801,0.055285911164574604,
E2A.1,glucose_cv,abn_multi,UCSD,623,1.2049,0.9019,1.6096,0.2071860482146759,
E2A.1,glucose_cv,log_acr,UW,789,0.1958,0.0314,0.3602,0.01966357246803148,
E2A.1,glucose_cv,log_acr,UAB,780,0.0627,-0.0653,0.1908,0.3363515873584856,
E2A.1,glucose_cv,log_acr,UCSD,626,0.1953,0.0186,0.3721,0.030364010285635307,
E2A.1,glucose_cv,log_troponin,UW,789,-0.0075,-0.0452,0.0301,0.6940995761808153,
E2A.1,glucose_cv,log_troponin,UAB,783,0.0219,-0.0139,0.0578,0.2297868313803013,
E2A.1,glucose_cv,log_troponin,UCSD,630,0.0482,0.0042,0.0923,0.03188213155073329,
E2A.1,glucose_cv,monofilament_missed,UW,787,0.0986,-0.0516,0.2488,0.19810163714496662,
E2A.1,glucose_cv,monofilament_missed,UAB,790,0.0374,-0.1128,0.1875,0.6254280737854445,
E2A.1,glucose_cv,monofilament_missed,UCSD,661,0.0065,-0.154,0.1671,0.9364010343200267,
E2A.1,mage,abn_kidney,UW,788,1.4278,1.0974,1.8576,0.007988769611776636,
E2A.1,mage,abn_kidney,UAB,780,1.3423,1.1117,1.6208,0.002206888039352199,
E2A.1,mage,abn_kidney,UCSD,626,1.6221,1.264,2.0815,0.00014383046173278228,
E2A.1,mage,abn_heart,UW,788,1.0424,0.7991,1.3596,0.7595115904896075,
E2A.1,mage,abn_heart,UAB,783,1.12,0.9252,1.3557,0.24510978384172832,
E2A.1,mage,abn_heart,UCSD,630,1.1052,0.8753,1.3954,0.40049650949311755,
E2A.1,mage,abn_nerve,UW,786,0.9895,0.7402,1.3228,0.9432972703617526,
E2A.1,mage,abn_nerve,UAB,790,1.125,0.9294,1.3618,0.22667988648477366,
E2A.1,mage,abn_nerve,UCSD,661,1.2391,0.95,1.6162,0.11368029390819949,
E2A.1,mage,abn_any,UW,784,1.1242,0.8988,1.4061,0.30526304586647646,
E2A.1,mage,abn_any,UAB,780,1.2792,1.084,1.5096,0.0035575112461213505,
E2A.1,mage,abn_any,UCSD,623,1.243,1.0027,1.541,0.047198352425934884,
E2A.1,mage,abn_multi,UW,784,1.2944,0.9374,1.7873,0.1170591483711852,
E2A.1,mage,abn_multi,UAB,780,1.2759,1.0414,1.5632,0.018685062609138874,
E2A.1,mage,abn_multi,UCSD,623,1.3484,1.0095,1.8009,0.04295068308237849,
E2A.1,mage,log_acr,UW,788,0.2632,0.0844,0.4419,0.003966553814547667,
E2A.1,mage,log_acr,UAB,780,0.1248,-0.0095,0.2591,0.06856071500327936,
E2A.1,mage,log_acr,UCSD,626,0.3372,0.1467,0.5277,0.0005452828473204698,
E2A.1,mage,log_troponin,UW,788,0.008,-0.0333,0.0493,0.704482574011048,
E2A.1,mage,log_troponin,UAB,783,0.0431,0.0055,0.0808,0.024707375749181727,
E2A.1,mage,log_troponin,UCSD,630,0.0671,0.0196,0.1146,0.005666839619527748,
E2A.1,mage,monofilament_missed,UW,786,0.0217,-0.1421,0.1855,0.7948957611913599,
E2A.1,mage,monofilament_missed,UAB,790,-0.0055,-0.1636,0.1526,0.9453531608649208,
E2A.1,mage,monofilament_missed,UCSD,661,0.1365,-0.0351,0.3082,0.11883663227662902,
E2B.1,bmi,abn_kidney,UW,794,1.1278,0.9071,1.4023,0.2790044604743318,
E2B.1,bmi,abn_kidney,UAB,787,0.979,0.7946,1.2061,0.8417851695864355,
E2B.1,bmi,abn_kidney,UCSD,639,0.9506,0.7221,1.2514,0.7181912158273256,
E2B.1,bmi,abn_heart,UW,794,1.1191,0.898,1.3946,0.31643047829000504,
E2B.1,bmi,abn_heart,UAB,791,1.1776,0.9666,1.4346,0.10458643125021992,
E2B.1,bmi,abn_heart,UCSD,643,1.3935,1.1039,1.7593,0.005255028510055071,
E2B.1,bmi,abn_nerve,UW,794,1.3723,1.0928,1.7232,0.006449862232972189,
E2B.1,bmi,abn_nerve,UAB,798,1.1738,0.9691,1.4216,0.1011630972123367,
E2B.1,bmi,abn_nerve,UCSD,673,1.3198,1.0165,1.7135,0.03725821015412969,
E2B.1,bmi,abn_any,UW,792,1.2721,1.0647,1.5198,0.008042252478394013,
E2B.1,bmi,abn_any,UAB,787,1.1901,1.0107,1.4012,0.03680699536601521,
E2B.1,bmi,abn_any,UCSD,634,1.3819,1.1213,1.7031,0.002415038904127999,
E2B.1,bmi,abn_multi,UW,792,1.1863,0.8998,1.564,0.22572599358926115,
E2B.1,bmi,abn_multi,UAB,787,1.1475,0.9187,1.4334,0.2252968060374515,
E2B.1,bmi,abn_multi,UCSD,634,1.1627,0.8293,1.63,0.38194692492811877,
E2B.1,bmi,log_acr,UW,794,0.1261,-0.0132,0.2655,0.07601949481269059,
E2B.1,bmi,log_acr,UAB,787,0.0436,-0.0843,0.1714,0.503812383688367,
E2B.1,bmi,log_acr,UCSD,639,-0.0206,-0.206,0.1647,0.8271179963741114,
E2B.1,bmi,log_troponin,UW,794,0.0304,-0.0014,0.0622,0.06060290271844275,
E2B.1,bmi,log_troponin,UAB,791,0.0175,-0.0193,0.0543,0.35108338487253643,
E2B.1,bmi,log_troponin,UCSD,643,0.0656,0.0199,0.1113,0.004984319265598837,
E2B.1,bmi,monofilament_missed,UW,794,0.1859,0.0623,0.3094,0.003251031796755058,
E2B.1,bmi,monofilament_missed,UAB,798,0.1421,-0.0046,0.2887,0.05755318085137896,
E2B.1,bmi,monofilament_missed,UCSD,673,0.1494,-0.0094,0.3083,0.06522142801027006,
E2B.1,bmi_obese,abn_kidney,UW,794,1.045,0.6546,1.6682,0.8536809138069339,
E2B.1,bmi_obese,abn_kidney,UAB,787,1.1665,0.7627,1.7842,0.4774266401701289,
E2B.1,bmi_obese,abn_kidney,UCSD,639,0.6977,0.4227,1.1517,0.1592289492756822,
E2B.1,bmi_obese,abn_heart,UW,794,1.5188,0.9635,2.394,0.07185585937385243,
E2B.1,bmi_obese,abn_heart,UAB,791,1.4377,0.9675,2.1365,0.07240216903609795,
E2B.1,bmi_obese,abn_heart,UCSD,643,1.519,0.9885,2.3344,0.0565180873418798,
E2B.1,bmi_obese,abn_nerve,UW,794,1.4257,0.8743,2.3249,0.15514393112346717,
E2B.1,bmi_obese,abn_nerve,UAB,798,1.318,0.8885,1.9553,0.1699880790867404,
E2B.1,bmi_obese,abn_nerve,UCSD,673,1.4732,0.9084,2.3891,0.11629080912042085,
E2B.1,bmi_obese,abn_any,UW,792,1.444,1.0004,2.0843,0.0497250820970926,
E2B.1,bmi_obese,abn_any,UAB,787,1.3574,0.975,1.8896,0.07026971548597326,
E2B.1,bmi_obese,abn_any,UCSD,634,1.4287,0.9837,2.075,0.060982212607562945,
E2B.1,bmi_obese,abn_multi,UW,792,1.2354,0.6866,2.2228,0.48059495322630896,
E2B.1,bmi_obese,abn_multi,UAB,787,1.4733,0.9393,2.3109,0.09153587957377829,
E2B.1,bmi_obese,abn_multi,UCSD,634,1.1539,0.6335,2.1017,0.6399041540956518,
E2B.1,bmi_obese,log_acr,UW,794,0.2691,-0.0177,0.5559,0.06589613219582402,
E2B.1,bmi_obese,log_acr,UAB,787,0.0479,-0.2142,0.3101,0.719883102050635,
E2B.1,bmi_obese,log_acr,UCSD,639,-0.2589,-0.5915,0.0738,0.12698235450680156,
E2B.1,bmi_obese,log_troponin,UW,794,0.0706,0.0052,0.136,0.0343045271789436,
E2B.1,bmi_obese,log_troponin,UAB,791,0.0488,-0.0266,0.1243,0.20396011932194277,
E2B.1,bmi_obese,log_troponin,UCSD,643,0.0713,-0.0121,0.1547,0.09352518759272455,
E2B.1,bmi_obese,monofilament_missed,UW,794,0.1664,-0.0891,0.4218,0.20141620941914232,
E2B.1,bmi_obese,monofilament_missed,UAB,798,0.19,-0.1131,0.4931,0.2189403157826594,
