exposure,outcome,adjustment,exposure_label,outcome_label,family,scale,sd_unit,n,estimate,ci_lo,ci_hi,p,q,note
sleep_hours,abn_multi,damage+hba1c,Sleep (hours/night),Two or more organs abnormal,binomial,per 1 SD,1.568632283690253,1984,0.9881,0.85,1.1486,0.8762563578446312,,
sleep_hours,log_acr,unadjusted,Sleep (hours/night),log urine ACR (mg/g),gaussian,per 1 SD,1.568632283690253,2008,-0.0241,-0.1079,0.0597,0.5728848708802926,,
sleep_hours,log_acr,damage,Sleep (hours/night),log urine ACR (mg/g),gaussian,per 1 SD,1.568632283690253,2008,-0.0177,-0.0997,0.0643,0.6717300949009732,0.9265242688289287,
sleep_hours,log_acr,damage+hba1c,Sleep (hours/night),log urine ACR (mg/g),gaussian,per 1 SD,1.568632283690253,1990,-0.0277,-0.109,0.0537,0.5044773156167086,,
sleep_hours,log_troponin,unadjusted,Sleep (hours/night),log hs-cTnT (ng/L),gaussian,per 1 SD,1.568632283690253,2016,-0.0121,-0.0359,0.0117,0.31726875503079427,,
sleep_hours,log_troponin,damage,Sleep (hours/night),log hs-cTnT (ng/L),gaussian,per 1 SD,1.568632283690253,2016,-0.003,-0.024,0.018,0.7781522016655927,0.9432147898976881,
sleep_hours,log_troponin,damage+hba1c,Sleep (hours/night),log hs-cTnT (ng/L),gaussian,per 1 SD,1.568632283690253,1998,-0.0062,-0.027,0.0146,0.5598696647755861,,
sleep_hours,monofilament_missed,unadjusted,Sleep (hours/night),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,1.568632283690253,2046,0.0597,-0.0246,0.144,0.16523920400331452,,
sleep_hours,monofilament_missed,damage,Sleep (hours/night),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,1.568632283690253,2046,0.0735,-0.0084,0.1555,0.07852006426982382,0.2617335475660794,
sleep_hours,monofilament_missed,damage+hba1c,Sleep (hours/night),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,1.568632283690253,1991,0.0673,-0.0149,0.1496,0.10831507454136816,,
spo2,abn_kidney,unadjusted,SpO2 (%),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,1.8736965143652773,1595,0.878,0.7603,1.0141,0.0767271582788743,,
spo2,abn_kidney,damage,SpO2 (%),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,1.8736965143652773,1595,0.9038,0.777,1.0513,0.18957005365396828,0.44604718506816066,
spo2,abn_kidney,damage+hba1c,SpO2 (%),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,1.8736965143652773,1577,0.932,0.7984,1.088,0.3725868799262134,,
spo2,abn_heart,unadjusted,SpO2 (%),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,1.8736965143652773,1601,0.9563,0.8455,1.0816,0.4764311844053478,,
spo2,abn_heart,damage,SpO2 (%),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,1.8736965143652773,1601,1.0115,0.8775,1.1659,0.8749846070982427,0.9956851491005055,
spo2,abn_heart,damage+hba1c,SpO2 (%),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,1.8736965143652773,1583,1.0388,0.8992,1.2,0.6050353960216837,,
spo2,abn_nerve,unadjusted,SpO2 (%),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,1.8736965143652773,1624,0.8831,0.7707,1.0118,0.07334545749059257,,
spo2,abn_nerve,damage,SpO2 (%),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,1.8736965143652773,1624,0.9225,0.798,1.0664,0.27518401598855424,0.5793347705022195,
spo2,abn_nerve,damage+hba1c,SpO2 (%),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,1.8736965143652773,1579,0.9613,0.8276,1.1165,0.6049244644994912,,
spo2,abn_any,unadjusted,SpO2 (%),Any of the three organs abnormal,binomial,per 1 SD,1.8736965143652773,1591,0.8952,0.806,0.9943,0.038706007170262374,,
spo2,abn_any,damage,SpO2 (%),Any of the three organs abnormal,binomial,per 1 SD,1.8736965143652773,1591,0.9445,0.8404,1.0615,0.3376575186819323,0.6427691767875509,
spo2,abn_any,damage+hba1c,SpO2 (%),Any of the three organs abnormal,binomial,per 1 SD,1.8736965143652773,1574,0.9762,0.867,1.0991,0.6904165606176651,,
spo2,abn_multi,unadjusted,SpO2 (%),Two or more organs abnormal,binomial,per 1 SD,1.8736965143652773,1591,0.9393,0.8058,1.0949,0.423259887362918,,
spo2,abn_multi,damage,SpO2 (%),Two or more organs abnormal,binomial,per 1 SD,1.8736965143652773,1591,0.9946,0.8368,1.1821,0.9509812828791423,0.9956851491005055,
spo2,abn_multi,damage+hba1c,SpO2 (%),Two or more organs abnormal,binomial,per 1 SD,1.8736965143652773,1574,1.0325,0.8658,1.2313,0.7217239389916661,,
spo2,log_acr,unadjusted,SpO2 (%),log urine ACR (mg/g),gaussian,per 1 SD,1.8736965143652773,1595,-0.0818,-0.1759,0.0124,0.08859692386680904,,
spo2,log_acr,damage,SpO2 (%),log urine ACR (mg/g),gaussian,per 1 SD,1.8736965143652773,1595,-0.057,-0.1509,0.0369,0.23407701857429686,0.5201711523873264,
spo2,log_acr,damage+hba1c,SpO2 (%),log urine ACR (mg/g),gaussian,per 1 SD,1.8736965143652773,1577,-0.0314,-0.1251,0.0623,0.510705259871117,,
spo2,log_troponin,unadjusted,SpO2 (%),log hs-cTnT (ng/L),gaussian,per 1 SD,1.8736965143652773,1601,-0.016,-0.0432,0.0113,0.25008739242238653,,
spo2,log_troponin,damage,SpO2 (%),log hs-cTnT (ng/L),gaussian,per 1 SD,1.8736965143652773,1601,0.0036,-0.0203,0.0275,0.7688110987701261,0.9432147898976881,
spo2,log_troponin,damage+hba1c,SpO2 (%),log hs-cTnT (ng/L),gaussian,per 1 SD,1.8736965143652773,1583,0.0089,-0.0148,0.0325,0.4611799764754182,,
spo2,monofilament_missed,unadjusted,SpO2 (%),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,1.8736965143652773,1624,-0.1178,-0.2169,-0.0187,0.01987361323151806,,
spo2,monofilament_missed,damage,SpO2 (%),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,1.8736965143652773,1624,-0.0714,-0.1692,0.0263,0.15203809702116602,0.38009524255291505,
spo2,monofilament_missed,damage+hba1c,SpO2 (%),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,1.8736965143652773,1579,-0.0442,-0.1428,0.0544,0.37958923450115256,,
