rank,experiment,exposure,outcome,exposure_label,outcome_label,scale,family,n,estimate,ci_lo,ci_hi,p,q,effect_size_standardised,effect_margin_over_floor,crit_effect_size,crit_survives_adjustment,sites_fitted,sites_same_direction,sites_p_lt_05,consistent_across_sites,heterogeneity_q_p,i_squared_pct,crit_consistent_sites,coherence_tier,crit_coherent_with_core,criteria_met
69,E2A.2,undiagnosed_range,abn_heart,undiagnosed_range,Heart abnormal (hs-cTnT >= 14 ng/L),yes vs no,binomial,1306,1.9289,0.8811,4.2226,0.1003248039179224,0.3150725628315409,1.929,1.62,True,False,3,2,0,False,0.6166209350219489,0.0,False,core-adjacent — unrecognized diabetes beneath unrecognized damage,True,2
70,E2F.1,clinician_discrimination,unrec_heart,"Clinician discrimination, mean (1-5)",Unrecognized — heart,per 1 SD,binomial,374,0.7787,0.5982,1.0138,0.0631113312125486,0.2840009904564687,1.284,1.372,True,False,3,2,1,False,0.4204597000103576,0.0,False,mechanistic — tests why damage goes unrecognized,True,2
71,E2C.2,cesd_positive,unrec_heart,CES-D-10 screen-positive (>= 10),Unrecognized — heart,yes vs no,binomial,436,0.6041,0.3436,1.0621,0.0800011649963777,0.1715524991229181,1.655,1.243,True,False,3,2,1,False,0.2589015592302553,26.0,False,pre-declared — H3,True,2
72,E2C.2,cesd_total,unrec_either,CES-D-10 total (0-30),Unrecognized on either organ,per 1 SD,binomial,603,0.8321,0.6746,1.0262,0.085776249561459,0.1715524991229181,1.202,1.008,True,False,3,2,1,False,0.35273589593978144,4.0,False,pre-declared — H3,True,2
73,E2E.2,qtc_ms,abn_any,QTc interval (ms),Any of the three organs abnormal,per 1 SD,binomial,2193,1.1991,1.0876,1.3219,0.0002652207310414,0.0009644390219689,1.199,0.996,False,True,3,3,3,True,0.9950357537128603,0.0,True,exploratory — no committed hypothesis,False,2
74,E2B.1,bmi_obese,abn_heart,Obese (BMI >= 30),Heart abnormal (hs-cTnT >= 14 ng/L),yes vs no,binomial,2228,1.4721,1.1521,1.8808,0.0019839704853596,0.0063487055531508,1.472,0.954,False,True,3,3,0,True,0.9774721133912503,0.0,True,exploratory — no committed hypothesis,False,2
75,E2E.2,rate_bpm,abn_any,ECG heart rate (bpm),Any of the three organs abnormal,per 1 SD,binomial,2193,1.184,1.0694,1.3108,0.0011491319625269,0.0030643519000718,1.184,0.926,False,True,3,3,2,True,0.23235852399391116,31.5,True,exploratory — no committed hypothesis,False,2
76,E2E.2,qrsd_ms,monofilament_missed,QRS duration (ms),"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,2243,0.1779,0.0985,0.2573,1.1522041190863672e-05,9.21763295269094e-05,0.092,0.917,False,True,3,3,2,True,0.08781511764969294,58.9,True,exploratory — no committed hypothesis,False,2
77,E2E.2,qtc_ms,abn_kidney,QTc interval (ms),Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,2201,1.1724,1.0457,1.3146,0.0064381929533368,0.0128763859066737,1.172,0.872,False,True,3,3,1,True,0.27572876906856114,22.4,True,exploratory — no committed hypothesis,False,2
78,E2B.1,bmi,monofilament_missed,BMI (kg/m2),"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,2265,0.1623,0.0804,0.2442,0.0001051024849329,0.0008408198794635,0.084,0.837,False,True,3,3,1,True,0.8877371870296269,0.0,True,exploratory — no committed hypothesis,False,2
79,E2B.1,bmi_obese,abn_any,Obese (BMI >= 30),Any of the three organs abnormal,yes vs no,binomial,2213,1.4037,1.1438,1.7228,0.00117189006663,0.00468756026652,1.404,0.836,False,True,3,3,1,True,0.9652296159382249,0.0,True,exploratory — no committed hypothesis,False,2
80,E2B.1,bmi_obese,abn_nerve,Obese (BMI >= 30),Nerve abnormal (>= 2 insensate sites),yes vs no,binomial,2265,1.3986,1.081,1.8095,0.0106883407027417,0.019001494582652,1.399,0.827,False,True,3,3,0,True,0.9344011313112274,0.0,True,exploratory — no committed hypothesis,False,2
81,E2D.1,heart_rate,log_acr,Resting heart rate (bpm),log urine ACR (mg/g),per 1 SD,gaussian,1942,0.1577,0.0674,0.248,0.0006297721127896,0.0151371708662072,0.082,0.821,False,True,3,3,1,True,0.4409506493206069,0.0,True,exploratory — no committed hypothesis,False,2
82,E2E.2,pr_ms,abn_nerve,PR interval (ms),Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,2205,1.1587,1.0314,1.3018,0.0131161163296887,0.0228606449935797,1.159,0.808,False,True,3,3,1,True,0.37593080679744884,0.0,True,exploratory — no committed hypothesis,False,2
83,E2E.2,qtc_ms,log_acr,QTc interval (ms),log urine ACR (mg/g),per 1 SD,gaussian,2201,0.1545,0.0751,0.2339,0.0001404557096966,0.0005676083537196,0.08,0.804,False,True,3,3,1,True,0.3575281296466418,2.8,True,exploratory — no committed hypothesis,False,2
84,E2D.1,stress,log_acr,Garmin stress score,log urine ACR (mg/g),per 1 SD,gaussian,1942,0.1471,0.0606,0.2337,0.0008693508639409,0.0151371708662072,0.077,0.766,False,True,3,3,2,True,0.703098777071526,0.0,True,exploratory — no committed hypothesis,False,2
85,E2E.2,qrsd_ms,abn_kidney,QRS duration (ms),Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,2201,1.149,1.0296,1.2824,0.0131448708713083,0.0228606449935797,1.149,0.762,False,True,3,3,0,True,0.9921959560049097,0.0,True,exploratory — no committed hypothesis,False,2
